Reference ID,Category,Product Title,Description,MRP,Base Price,,
1089,Home & Kitchen,Portable trekking tent,"Camping Tent Portable Foldable Tent -8 Person Tent ,Sleeping Bag 1 Pcs     "," 4999",4949,,
628,Electronics & Appliances,SMART WALKING STICK    ,SMART - FOLDABLE WALKING STICK    ," 4700",4653,,
1111,Health Appliances,FOLDABLE WALKING STICK,Foldable walking stick," 4700",4653,,
991,Electronics & Appliances,ELECTRONIC SCALE WHITE,ELECTRONIC PERSONAL SCALE WHITE    ," 4599",4553,,
992,Electronics & Appliances,ELECTRONIC SCALE WHITE,ELECTRONIC PERSONAL SCALE BLACK    ," 4599",4553,,
1133,Health Appliances,ELECTRONIC PERSONAL SCALE,Dr.Odin electronic personal scale White," 4599",4553,,
1134,Health Appliances,ELECTRONIC PERSONAL SCALE,Dr.Odin electronic personal scale Black," 4599",4553,,
1135,Home Furnishing,Bedsheet Set,19 Piece Set : 16 Piece Diwan Set with 1 Free Carpet & 2 Door Mats," 4500",4455,,
806,Electronics & Appliances,BODY FAT ANALYZER    ,BODY FAT ANALYZER BLACK    ," 4450",4406,,
807,Electronics & Appliances,BODY FAT ANALYZER,BODY FAT ANALYZER WHITE    ," 4450",4406,,
1126,Health Appliances,BODY FAT ANALYZER BLACK,Dr.Odin body fat analyzer black," 4450",4406,,
1127,Health Appliances,BODY FAT ANALYZER WHITE,Dr.Odin body fat analyzer white," 4450",4406,,
808,Electronics & Appliances,Walking stick,SMART - WALKING STICK    ," 4400",4356,,
1128,Health Appliances,SMART - WALKING STICK,Dr. Odin smart walking stick black," 4400",4356,,
1129,Home Furnishing,Bedsheet Set,Diwali Collection Pack of 8 Micro Double Bedsheet with 16 Pillow  Covers," 4000",3960,,
1130,Kitchen,Pressure Cooker Combo,Shagun 4 Pressure Cooker Combo with 2 Common Lids," 3999",3959,,
1131,Kitchen,Glass Cooktop,Pick Any 1 Safeline Glass Cooktop (ISI Marked) - 3 Burner," 3999",3959,,
1132,Kitchen,Container Set,SNB Mega Hot & Cold Combo," 3999",3959,,
440,Home & Kitchen,Powerful Drill Machine,Shopper52 GBT New 10mm Powerful Drill Machine With Semi Metal Body," 3999",3959,,
451,Home & Kitchen,Electric Drill Machine,Shopper52 10mm Powerful Electric Drill Machine With 13Pcs Drill Set ," 3999",3959,,
461,Home & Kitchen,10 mm Drill Machine,Unique Gadget Buy 10mm Drill Machine with  Damaged Screw Extractor   ," 3999",3959,,
464,Home & Kitchen,Drill Machine  Wrench Set,Buy Shopper52 New 10mm  Drill Machine With Snap N Grip Wrench Set    ," 3999",3959,,
491,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XS  Black," 3999",3959,,
492,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket S Black," 3999",3959,,
493,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket M Black," 3999",3959,,
494,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket L Black," 3999",3959,,
495,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XL Black," 3999",3959,,
496,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XXL Black," 3999",3959,,
497,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket 3XL Black," 3999",3959,,
498,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XS Black," 3999",3959,,
499,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket S Black," 3999",3959,,
500,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket M Black," 3999",3959,,
501,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket L Black," 3999",3959,,
502,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XL Black," 3999",3959,,
503,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XXL Black," 3999",3959,,
504,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket 3XL Black," 3999",3959,,
505,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XS Black," 3999",3959,,
506,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket S Black," 3999",3959,,
507,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket M Black," 3999",3959,,
508,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket L Black," 3999",3959,,
509,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XL Black," 3999",3959,,
510,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XXL Black," 3999",3959,,
511,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket 3XL Black," 3999",3959,,
512,Home & Kitchen,Electric Drill Machine,shopper 52 Cast Iron Electric Drill Machine - 41 Pieces Tool Kit Set Black," 3999",3959,,
515,Home & Kitchen,Instant water heater,Shopper52 Instant Water Heater Electric Heating Tap Tankless," 3999",3959,,
517,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XS  Multi," 3999",3959,,
518,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket S Multi," 3999",3959,,
519,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket M Multi," 3999",3959,,
520,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket L Multi," 3999",3959,,
521,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XL Multi," 3999",3959,,
522,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XXL Multi," 3999",3959,,
523,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket 3XL Multi," 3999",3959,,
524,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XS Multi," 3999",3959,,
525,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket S Black," 3999",3959,,
526,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket M Black," 3999",3959,,
527,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket L Black," 3999",3959,,
528,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XL Black," 3999",3959,,
529,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XXL Black," 3999",3959,,
530,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket 3XL Black," 3999",3959,,
531,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket XS Black," 3999",3959,,
532,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket S Black1," 3999",3959,,
533,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket M Black1," 3999",3959,,
534,Apparel,Mens leather Jacket,Leather Retail® Mens Solid Faux Leather Jacket L Black1," 3999",3959,,
535,Apparel,Men's Leather®Jacket,Leather Retail® Mens Solid Faux Leather Jacket XL Black1," 3999",3959,,
536,Apparel,Men's Leather®Jacket,Leather Retail® Mens Solid Faux Leather Jacket XXL Black1," 3999",3959,,
537,Apparel,Men's Leather®Jacket,Leather Retail® Mens Solid Faux Leather Jacket 3XL Black1," 3999",3959,,
538,Apparel,Men's Leather®Jacket,Leather Retail® Mens Solid Faux Leather Jacket XS Black1," 3999",3959,,
539,Apparel,Men's Leather®Jacket,Leather Retail® Mens Solid Faux Leather Jacket S Black," 3999",3959,,
540,Apparel,Men's Leather®Jacket,Leather Retail® Mens Solid Faux Leather Jacket M Black," 3999",3959,,
541,Apparel,Men's Leather®Jacket,Leather Retail® Mens Solid Faux Leather Jacket L Black," 3999",3959,,
542,Apparel,Men's Leather®Jacket,Leather Retail® Mens Solid Faux Leather Jacket XL Black," 3999",3959,,
543,Apparel,Men's Leather®Jacket,Leather Retail® Mens Solid Faux Leather Jacket XXL Black," 3999",3959,,
544,Apparel,Men's Leather®Jacket,Leather Retail® Mens Solid Faux Leather Jacket 3XL Black," 3999",3959,,
545,Apparel,Men's Leather®Jacket,Leather Retail® Mens Solid Faux Leather Jacket XS Black," 3999",3959,,
546,Apparel,Men's Leather®Jacket,Leather Retail® Mens Solid Faux Leather Jacket S Black," 3999",3959,,
547,Apparel,Men's Leather®Jacket,Leather Retail® Mens Solid Faux Leather Jacket M Black," 3999",3959,,
548,Apparel,Men's Leather®Jacket,Leather Retail® Mens Solid Faux Leather Jacket L Black," 3999",3959,,
549,Apparel,Men's Leather®Jacket,Leather Retail® Mens Solid Faux Leather Jacket XL Black," 3999",3959,,
550,Apparel,Men's Leather®Jacket,Leather Retail® Mens Solid Faux Leather Jacket XXL Black," 3999",3959,,
551,Apparel,Men's Leather®Jacket,Leather Retail® Mens Solid Faux Leather Jacket 3XL Black," 3999",3959,,
552,Apparel,Men's Leather®Jacket,Leather Retail® Mens Solid Faux Leather Jacket XS Black," 3999",3959,,
553,Apparel,Men's Leather®Jacket,Leather Retail® Mens Solid Faux Leather Jacket S Black," 3999",3959,,
